A,B,C,D,Observed values
"('3', 333)","('3', 85)","('3', 500)","('1', 1.5)",-1.745713931552324
"('3', 333)","('3', 85)","('3', 500)","('2', 2.0)",-1.745713931552324
"('3', 333)","('3', 85)","('3', 500)","('3', 2.5)",-1.745713931552324
"('4', 338)","('1', 50)","('1', 300)","('1', 1.5)",-1.749915860852782
"('4', 338)","('1', 50)","('1', 300)","('2', 2.0)",-1.749915860852782
"('4', 338)","('1', 50)","('1', 300)","('3', 2.5)",-1.749915860852782
"('4', 338)","('1', 50)","('2', 400)","('1', 1.5)",-1.749915860852782
"('4', 338)","('1', 50)","('2', 400)","('2', 2.0)",-1.749915860852782
"('4', 338)","('1', 50)","('2', 400)","('3', 2.5)",-1.749915860852782
"('4', 338)","('1', 50)","('3', 500)","('1', 1.5)",-1.749915860852782
"('4', 338)","('1', 50)","('3', 500)","('2', 2.0)",-1.749915860852782
"('4', 338)","('1', 50)","('3', 500)","('3', 2.5)",-1.749915860852782
"('4', 338)","('2', 65)","('1', 300)","('1', 1.5)",-1.749915860852782
"('4', 338)","('2', 65)","('1', 300)","('2', 2.0)",-1.749915860852782
"('4', 338)","('2', 65)","('1', 300)","('3', 2.5)",-1.749915860852782
"('4', 338)","('2', 65)","('2', 400)","('1', 1.5)",-1.749915860852782
"('4', 338)","('2', 65)","('2', 400)","('2', 2.0)",-1.749915860852782
"('4', 338)","('2', 65)","('2', 400)","('3', 2.5)",-1.749915860852782
"('4', 338)","('2', 65)","('3', 500)","('1', 1.5)",-1.749915860852782
"('4', 338)","('2', 65)","('3', 500)","('2', 2.0)",-1.749915860852782
"('4', 338)","('2', 65)","('3', 500)","('3', 2.5)",-1.749915860852782
"('4', 338)","('3', 85)","('1', 300)","('1', 1.5)",-1.749915860852782
"('4', 338)","('3', 85)","('1', 300)","('2', 2.0)",-1.749915860852782
"('4', 338)","('3', 85)","('1', 300)","('3', 2.5)",-1.749915860852782
"('4', 338)","('3', 85)","('2', 400)","('1', 1.5)",-1.749915860852782
"('4', 338)","('3', 85)","('2', 400)","('2', 2.0)",-1.749915860852782
"('4', 338)","('3', 85)","('2', 400)","('3', 2.5)",-1.749915860852782
"('4', 338)","('3', 85)","('3', 500)","('1', 1.5)",-1.749915860852782
"('4', 338)","('3', 85)","('3', 500)","('2', 2.0)",-1.749915860852782
"('4', 338)","('3', 85)","('3', 500)","('3', 2.5)",-1.749915860852782
"('5', 343)","('1', 50)","('1', 300)","('1', 1.5)",-1.7541177901532403
"('5', 343)","('1', 50)","('1', 300)","('2', 2.0)",-1.7541177901532403
"('5', 343)","('1', 50)","('1', 300)","('3', 2.5)",-1.7541177901532403
"('5', 343)","('1', 50)","('2', 400)","('1', 1.5)",-1.7541177901532403
"('5', 343)","('1', 50)","('2', 400)","('2', 2.0)",-1.7541177901532403
"('5', 343)","('1', 50)","('2', 400)","('3', 2.5)",-1.7541177901532403
"('5', 343)","('1', 50)","('3', 500)","('1', 1.5)",-1.7541177901532403
"('5', 343)","('1', 50)","('3', 500)","('2', 2.0)",-1.7541177901532403
"('5', 343)","('1', 50)","('3', 500)","('3', 2.5)",-1.7541177901532403
"('5', 343)","('2', 65)","('1', 300)","('1', 1.5)",-1.7541177901532403
"('5', 343)","('2', 65)","('1', 300)","('2', 2.0)",-1.7541177901532403
"('5', 343)","('2', 65)","('1', 300)","('3', 2.5)",-1.7541177901532403
"('5', 343)","('2', 65)","('2', 400)","('1', 1.5)",-1.7541177901532403
"('5', 343)","('2', 65)","('2', 400)","('2', 2.0)",-1.7541177901532403
"('5', 343)","('2', 65)","('2', 400)","('3', 2.5)",-1.7541177901532403
"('5', 343)","('2', 65)","('3', 500)","('1', 1.5)",-1.7541177901532403
"('5', 343)","('2', 65)","('3', 500)","('2', 2.0)",-1.7541177901532403
"('5', 343)","('2', 65)","('3', 500)","('3', 2.5)",-1.7541177901532403
"('5', 343)","('3', 85)","('1', 300)","('1', 1.5)",-1.7541177901532403
"('5', 343)","('3', 85)","('1', 300)","('2', 2.0)",-1.7541177901532403
"('5', 343)","('3', 85)","('1', 300)","('3', 2.5)",-1.7541177901532403
"('5', 343)","('3', 85)","('2', 400)","('1', 1.5)",-1.7541177901532403
"('5', 343)","('3', 85)","('2', 400)","('2', 2.0)",-1.7541177901532403
"('5', 343)","('3', 85)","('2', 400)","('3', 2.5)",-1.7541177901532403
"('5', 343)","('3', 85)","('3', 500)","('1', 1.5)",-1.7541177901532403
"('5', 343)","('3', 85)","('3', 500)","('2', 2.0)",-1.7541177901532403
"('5', 343)","('3', 85)","('3', 500)","('3', 2.5)",-1.7541177901532403
"('6', 353)","('1', 50)","('1', 300)","('1', 1.5)",-1.7625216487541564
"('6', 353)","('1', 50)","('1', 300)","('2', 2.0)",-1.7625216487541564
"('6', 353)","('1', 50)","('1', 300)","('3', 2.5)",-1.7625216487541564
"('6', 353)","('1', 50)","('2', 400)","('1', 1.5)",-1.7625216487541564
"('6', 353)","('1', 50)","('2', 400)","('2', 2.0)",-1.7625216487541564
"('6', 353)","('1', 50)","('2', 400)","('3', 2.5)",-1.7625216487541564
"('6', 353)","('1', 50)","('3', 500)","('1', 1.5)",-1.7625216487541564
"('6', 353)","('1', 50)","('3', 500)","('2', 2.0)",-1.7625216487541564
"('6', 353)","('1', 50)","('3', 500)","('3', 2.5)",-1.7625216487541564
"('6', 353)","('2', 65)","('1', 300)","('1', 1.5)",-1.7625216487541564
"('6', 353)","('2', 65)","('1', 300)","('2', 2.0)",-1.7625216487541564
"('6', 353)","('2', 65)","('1', 300)","('3', 2.5)",-1.7625216487541564
"('6', 353)","('2', 65)","('2', 400)","('1', 1.5)",-1.7625216487541564
"('6', 353)","('2', 65)","('2', 400)","('2', 2.0)",-1.7625216487541564
"('6', 353)","('2', 65)","('2', 400)","('3', 2.5)",-1.7625216487541564
"('6', 353)","('2', 65)","('3', 500)","('1', 1.5)",-1.7625216487541564
"('6', 353)","('2', 65)","('3', 500)","('2', 2.0)",-1.7625216487541564
"('6', 353)","('2', 65)","('3', 500)","('3', 2.5)",-1.7625216487541564
"('6', 353)","('3', 85)","('1', 300)","('1', 1.5)",-1.7625216487541564
"('6', 353)","('3', 85)","('1', 300)","('2', 2.0)",-1.7625216487541564
"('6', 353)","('3', 85)","('1', 300)","('3', 2.5)",-1.7625216487541564
"('6', 353)","('3', 85)","('2', 400)","('1', 1.5)",-1.7625216487541564
"('6', 353)","('3', 85)","('2', 400)","('2', 2.0)",-1.7625216487541564
"('6', 353)","('3', 85)","('2', 400)","('3', 2.5)",-1.7625216487541564
"('6', 353)","('3', 85)","('3', 500)","('1', 1.5)",-1.7625216487541564
"('6', 353)","('3', 85)","('3', 500)","('2', 2.0)",-1.7625216487541564
"('6', 353)","('3', 85)","('3', 500)","('3', 2.5)",-1.7625216487541564
